G72-G72 G438-G438 {'weight': 1, 'layer': 1}
G72-G72 G653-G653 {'weight': 1, 'layer': 1}
G72-G72 G732-G732 {'weight': 1, 'layer': 1}
G72-G72 G764-G764 {'weight': 1, 'layer': 1}
G72-G72 G995-G995 {'weight': 1, 'layer': 1}
G72-G72 H521-H521 {'weight': 0.9, 'layer': 3}
G100-G100 G696-G696 {'weight': 1, 'layer': 1}
G100-G100 H891-H891 {'weight': 0.9, 'layer': 3}
G335-G335 G422-G422 {'weight': 1, 'layer': 1}
G335-G335 G596-G596 {'weight': 1, 'layer': 1}
G335-G335 G651-G651 {'weight': 1, 'layer': 1}
